Title,Genre,Release Year,Review,Rating
The Shawshank Redemption,Drama,1994,"A profound tale of hope and perseverance, masterfully acted and directed.",9.8
Inception,Sci-Fi,2010,"A mind-bending thriller with stunning visuals and a layered narrative.",9.2
The Godfather,Crime,1972,"A cinematic masterpiece with iconic performances and storytelling.",9.7
Pulp Fiction,Crime,1994,"Quentin Tarantino's nonlinear storytelling and dialogue are unforgettable.",9.0
The Dark Knight,Action,2008,"A gritty, intelligent superhero film with an unforgettable Joker performance.",9.4
Parasite,Thriller,2019,"A brilliant social satire that’s gripping and thought-provoking.",9.1
Forrest Gump,Drama,1994,"Heartwarming and inspirational, with a tour de force performance by Tom Hanks.",9.3
The Matrix,Sci-Fi,1999,"A revolutionary film that redefined the sci-fi genre with style and philosophy.",9.0
Interstellar,Adventure,2014,"Visually breathtaking and emotionally resonant, with deep scientific themes.",8.8
La La Land,Musical,2016,"A modern musical that captures the joy and heartbreak of chasing dreams.",8.5
